id;title;address;coordonnees
45;"Villa Alicius - Palais idéal du Facteur Cheval";"Le Facteur Cheval 3 Rue Étienne Vassy, 26390 Hauterives, France";45.25745,5.031564
46;"Domaine du Pradel Institut Olivier de Serres";"460 Tarnondette, 07170 Mirabel, France";44.59484,4.495712
47;"Maison du Docteur Gachet";"15 Rue du Général de Gaulle, 95430 Auvers-sur-Oise, France";49.074123,2.15876
48;"Château de la Bastie d'Urfé";"1061 Route de la Bâtie d'Urfé, 42130 Saint-Étienne-le-Molard, France";45.727582,4.078586
49;"Villa Oasis";"Avenue Yacoub El Mansour, 40000 Marrakech, Morocco";31.6395431,-8.0034677
50;"Propriété de Maurice Denis, dite Le Prieuré";"Musée départemental Maurice Denis 2bis Rue Maurice Denis, 78100 Saint-Germain-en-Laye, France";48.892496,2.087541
51;"Musée national Eugène Delacroix";"Musée Delacroix 6 Rue de Furstemberg, 75006 Paris, France";48.854445,2.335642
52;"Maison natale de Pascal Paoli";"Musée Pascal Paoli - Museu Pasquale Paoli Hameau de Stretta, 20218 Morosaglia, France";42.4408338534,9.3090615019764
53;"Musée de la maison de Pierre Loti";"Maison de Pierre Loti 141 Rue Pierre Loti, 17300 Rochefort, France";45.934295,-0.962724
54;"Musée national Clemenceau et de Lattre de Tassigny - Maison natale de Clemenceau";"Musée national des Deux Victoires 18 Rue du temple, 85390 Mouilleron-Saint-Germain, France";46.675683,-0.850375
55;"Musée Rodin ou Villa les Brillants";"19 Av. Auguste Rodin, 92190 Meudon, France";48.813955,2.252619
56;"Maison de la sœur Anne-Marie Javouhey";"26 Rue Yvonne Patient, 97360 Mana, France";5.66965,-53.78527
57;"Maison André Breton";"Mas de Fraysse 46330 Saint-Cirq-Lapopie";44.450845,1.67228
58;"Maison La Souvenance";"6 Chem. des Agoutis, 97128 Goyave, France";16.140009,-61.584844
59;"Château de Pontus de Tyard";"5 Montee de la Cure 71460 Bissy-sur-Fley";46.665,4.621
60;"Tour Moncade";"Rue Moncade, 64300 Orthez, France";43.4907052,-0.7711225
61;"Château de Monte-Cristo";"Chemin du Haut des Ormes, 78560 Le Port-Marly, France";48.8814647,2.1059687
62;"Maison-Atelier Foujita";"9 Rte de Gif, 91190 Villiers-le-Bâcle, France";48.726254,2.123325
63;"Château de Thorey -Lyautey";"Rue du Château, 54115 Thorey-Lyautey, France";48.443627,6.028474
64;"Maison-École du Grand Meaulnes";"8 Rue Alain-Fournier, 18360 Épineuil-le-Fleuriel, France";46.558401,2.58351
65;"Maison de Marie Noël";"1 Rue Marie Noël, 89000 Auxerre, France";47.7943955,3.5725206
66;"«Samten Dzong» - Maison d'Alexandra David-Néel";"24 Chemin du Pigeonnier, 04000 Digne-les-Bains, France";44.0892896,6.2425317
67;"Auberge de Verlaine";"22 Rue Chanteraine, 08310 Juniville, France";49.397074,4.381294
68;"Maison de 
 Julie Victoire Daubié";"24 La Manufacture, 88240 La Vôge-les-Bains, France";47.997427,6.233227
69;"Château de Combourg";"38 Rue de Madrid, 35270 Combourg, France";48.411952,-1.729469
70;"Maison Jean Monnet";"7 Chem. du Vieux Pressoir, 78490 Bazoches-sur-Guyonne, France";48.770677,1.852319
71;"Maison natale de Pierre de Fermat";"1 Rue nationale, 82500 Beaumont-de-Lomagne, France";43.882937,0.991153
72;"Maison natale de Charles Trenet";"27 Chem. du maritime, 11100 Narbonne, France";43.167402,3.037898
73;"Maison des Mémoires - Maison Joë Bousquet";"1 Rue Marceau Perrutel, 11000 Carcassonne, France";43.206807,2.349411
74;"Maison familiale de Pierre-Auguste Renoir";"1 Rue Gambetta, 10360 Essoyes, France";48.058099,4.537065
75;"Maison des Lumières Denis Diderot";"1 Rue Pierre Durand, 52200 Langres, France";47.866417,5.331753
76;"Château de Valençay";"9 Le Bas Méray, 36600 Valençay, France";47.150597,1.562113
77;"Maison de La Devinière – Musée Rabelais";"1 Rue de l'Escadron B le Vigneau, 37500 Seuilly, France";47.133857,0.16437
78;"Musée Balzac - Château de Saché";"3 Chem. de la Petitière, 37190 Saché, France";47.239476,0.532392
79;"Demeure de Ronsard";"32 Rue du Chemin Neuf, 37520 La Riche, France";47.381191,0.637854
80;"Musée Emile Guillaumin";"4 Rte de Couleuvre, 03160 Ygrande, France";46.556349,2.941437
81;"Manoir des Sciences de Réaumur";"27 Cité du Beugnon, 85700 Réaumur, France";46.720949,-0.808734
82;"Maison d’Émile Zola";"5 Rue de Breteuil, 78670 Medan, France";48.954743,1.99249
83;"Harmas Jean-Henri Fabre";"22 Rte de Lagarde Pareol, 84830 Sérignan-du-Comtat, France";44.191001,4.844448
84;"Villa Michel Simon";"38 Av. d' Alsace, 13600 La Ciotat, France";43.18922,5.625217
85;"Villa Noailles";"4 place Pêcheurs, Rte des Vieux Salins, 83400 Hyères, France";43.115727,6.200547
86;"Musée Escoffier de l’art culinaire";"12B All. du Ponson, 06270 Villeneuve-Loubet, France";43.639285,7.1068
87;"Maison natale de Jean Giraudoux";"7 Rue du 19 Mars 1962, 87300 Bellac, France";46.120186,1.060953
88;"Le Maine-Giraud Alfred de Vigny";"2 Chez Renou, 16250 Champagne-Vigny, France";45.504643,0.044409
89;"Manoir d’Ango";"50 Rue Hamel Aubin, 76119 Varengeville-sur-Mer, France";49.907558,0.998489
90;"Maison natale de François Mitterrand";"30 Rue du Bois Doucet, 16200 Jarnac, France";45.690183,-0.169285
91;"Le Clos Lupin";"33 H Rue Guy de Maupassant, 76790 Étretat, France";49.704416,0.211459
92;"Maison Lansyer";"15 Rue des Lézards, 37600 Loches, France";47.128306,0.985373
93;"Maison natale de Jeanne d'Arc";"5 Rue de l'Église, 88630 Domrémy-la-Pucelle, France";48.442493,5.674793
94;"Château de Cirey";"17 Village, 52110 Cirey-sur-Blaise, France";48.331544,4.939826
95;"Le Scudo - Maison de Tino Rossi";"1 Rés Castelluccio, 20090 Ajaccio, France";41.933934,8.715408
96;"Musée Maison Nicéphore Niepce";"19 B Rue du Pavillon, 71240 Saint-Loup-de-Varennes, France";46.728953,4.859433
