id;title;address;coordonnees
224;"Pavillon de Balzac, actuellement musée";"Maison de Balzac 47 Rue Raynouard, 75016 Paris, France";48.855356,2.280847
225;"Domaine du château de Talcy";"Château de Talcy 18 rue du Château, 41370 Talcy, France";47.769313,1.444645
226;"Maison natale de Paul Claudel";"Maison Camille et Paul Claudel 42 Place Paul Claudel, 02130 Villeneuve-sur-Fère, France";49.177645,3.473667
227;"Maison du Docteur Dugoujon";"Place Jean Gouailhardou, 69300 Caluire-et-Cuire, France";45.7993006,4.8456703
228;"Les Maisonnettes";"18 Rue du Bocage, 78440 Gargenville, France";48.98556,1.814075
229;"Maison de Jules Verne";"2 Rue Charles Dubois, 80000 Amiens, France";49.887743,2.301895
230;"Maison-atelier de Daubigny";"61 Rue Daubigny, 95430 Auvers-sur-Oise, France";49.073035,2.169911
231;"Maison de Jacques Copeau et son jardin";"Maison Jacques Copeau 4 Rue Jacques Copeau, 21420 Pernand-Vergelesses, France";47.079173,4.851154
232;"Villa Seurat, dite maison Jean Lurçat, actuellement maison Orloff";"Atelier-musée Chana Orloff 7 Villa Seurat, 75014 Paris, France";48.826161,2.332619
233;"Musée Jean Aicard - Paulin Bertrand";"Musée Jean Aicard - Paulin Bertrand 705 Avenue du 8 Mai 1945, 83130 La Garde, France";43.114675,6.004393
234;"Hôtel Gustave Fayet - Musée des Beaux-Arts";"Musée Fayet 9 Rue du Capus, 34500 Béziers, France";43.342650890138,3.2111801425146
235;"Musée-hôtel Le Vergeur – maison Hugues Krafft";"Maison Hughes Krafft 36 place du Forum, 51100 Reims, France";49.257018,4.034054
236;"Maison natale de Paul Verlaine";"Maison de Paul Verlaine 2 Rue Haute Pierre, 57000 Metz, France";49.1172607,6.1716839
237;"Musée des Émaux et de la Mosaïque de Briare";"Maison de Jean-Félix Bapterosses 4 Rue des Vergers, 45250 Briare, France";47.642377,2.733211
238;"Bibliothèque Marmottan";"7 Place Denfert-Rochereau, 92100 Boulogne-Billancourt, France";48.84326,2.246389
239;"Musée Charles Friry";"12 Rue du Général Humbert, 88200 Remiremont, France";48.015174,6.590031
240;"Maison de Francis Poulenc, dite Le Grand Coteau";"Le Grand Coteau 269 Chemin Francis Poulenc, 37210 Noizay, France";47.42431,0.90551
241;"Villa Félix Charpentier";"Villa Charpentier 61 Rue Saint-Lubin, 28480 Chassant, France";48.295209,1.057522
242;"Maison de famille d’Hervé Bazin";"748, route du Patys - Marans, 49500 Segré-en-Anjou Bleu, France";47.6351214,-0.8482834
243;"Maison Henri Dutilleux – Geneviève Joy";"10 Rue du Confluent, 37500 Candes-Saint-Martin, France";47.211953,0.074361
244;"Espace botanique Hippolyte Coste";"Deveze de la Fage, 12250 Saint-Jean-et-Saint-Paul, France";43.918555,3.093226
245;"Maison Edouard Glissant";"La Chery 97223 Le Diamant, France";14.4799,-61.012029
246;"Château de Saint-Point – Lamartine";"316 route du château Lamartine, 71520 Saint-Point, France";46.343737,4.615155
247;"Datcha Ivan Tourguéniev";"16 Rue Yvan Tourgueneff, 78380 Bougival, France";48.864496,2.147401
248;"Musée Yves Saint Laurent";"5 Av. Marceau, 75116 Paris, France";48.865621,2.29952
249;"Musée atelier Guillaume Dubufe - Musée Jean-Jacques Henner";"Musée national Jean-Jacques Henner 43 Avenue de Villiers, 75017 Paris, France";48.883041,2.307711
250;"Maison d'Edouard Salin";"Château de Montaigu 167 Rue Lucien Galtier, 54410 Laneuveville-devant-Nancy, France";48.6656659,6.2100382
251;"Maison Jeanne d'Albret";"Jeanne d'Albret 37 Rue Bourg-Vieux, 64300 Orthez, France";43.4884344,-0.775028
252;"Le Domaine d'Orvès - maison de Pierre Deval";"Le Domaine d'Orvès 71 avenue de la Libération, 83160 La Valette-du-Var, France";43.143015,5.989277
253;"Villa Antonine";"Villa Antonine 74 Rue Jean Valette, 34500 Béziers, France";43.341129,3.227775
